kind,template_id,name,hash_name,price,steam_price,on_sale_count
"case","102276","反冲武器箱","Recoil Case","2.44","3.77","45145"
"case","53453","蛇噬武器箱","Snakebite Case","3.99","6.3","26628"
"case","168","裂空武器箱","Fracture Case","3.93","6.17","32739"
"case","108492","千瓦武器箱","Kilowatt Case","1.37","2.08","67522"
"case","109499","画廊武器箱","Gallery Case","6.53","10.14","26459"
"case","103158","变革武器箱","Revolution Case","1.81","2.79","62040"
"case","101422","梦魇武器箱","Dreams & Nightmares Case","8.74","13","84209"
"case","62265","“激流大行动”武器箱","Operation Riptide Case","62","97.17","2117"
"case","6860","“狂牙大行动”武器箱","Operation Broken Fang Case","45.1","71.11","4553"
"case","8","棱彩2号武器箱","Prisma 2 Case","10.47","16.45","2832"
"case","3","棱彩武器箱","Prisma Case","10.6","16.64","2394"
"case","9","反恐精英20周年武器箱","CS20 Case","8.76","13.78","2312"
"case","12","命悬一线武器箱","Clutch Case","4.65","7.28","23947"
"case","153","地平线武器箱","Horizon Case","11.9","18.53","1726"
"case","5","“头号特训”武器箱","Danger Zone Case","10.28","15.21","2603"
"case","2","光谱 2 号武器箱","Spectrum 2 Case","20.89","32.11","6832"
"case","1055","光谱武器箱","Spectrum Case","25.79","39.91","3575"
"case","77","手套武器箱","Glove Case","72.5","102.12","35339"
"case","369","伽玛 2 号武器箱","Gamma 2 Case","21","31.39","10644"
"case","358","伽玛武器箱","Gamma Case","21.5","33.6","11979"
"case","13","幻彩 3 号武器箱","Chroma 3 Case","23.8","33.8","6173"
"case","788","幻彩 2 号武器箱","Chroma 2 Case","26.7","37.18","3377"
"case","45444","幻彩武器箱","Chroma Case","34.3","51.68","1010"
"case","782","“野火大行动”武器箱","Operation Wildfire Case","23.39","35.3","2465"
"case","38","左轮武器箱","Revolver Case","20.3","31.78","3803"
"case","368","暗影武器箱","Shadow Case","12.9","19.11","1186"
"case","125","弯曲猎手武器箱","Falchion Case","12.29","16.64","1260"
"case","1177","“先锋大行动”武器箱","Operation Vanguard Weapon Case","35.5","53.3","577"
"case","156","“突围大行动”武器箱","Operation Breakout Weapon Case","54.2","78.19","3979"
"case","46475","猎杀者武器箱","Huntsman Weapon Case","59.6","91.72","602"
